"TIME","GEO","WAT_PROC","WAT_SRC","UNIT","Value","Flag and Footnotes"
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture - aquaculture","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for mining and quarrying","Fresh surface water","Million cubic metres","917.60",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for mining and quarrying","Fresh surface water","Cubic metres per inhabitant","11.22",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for mining and quarrying","Fresh groundwater","Million cubic metres","1,204.70",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for mining and quarrying","Fresh groundwater","Cubic metres per inhabitant","14.73",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry","Fresh surface water","Million cubic metres","3,896.00",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry","Fresh surface water","Cubic metres per inhabitant","47.64",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry","Fresh groundwater","Million cubic metres","764.50",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry","Fresh groundwater","Cubic metres per inhabitant","9.35",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry - cooling","Fresh surface water","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry - cooling","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for production of electricity - cooling","Fresh surface water","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for production of electricity - cooling","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for production of electricity - cooling","Fresh groundwater","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for production of electricity - cooling","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for construction","Fresh surface water","Million cubic metres","641.10",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for construction","Fresh surface water","Cubic metres per inhabitant","7.84",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for construction","Fresh groundwater","Million cubic metres","111.78",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for construction","Fresh groundwater","Cubic metres per inhabitant","1.37",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for services","Fresh surface water","Million cubic metres","28.10",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for services","Fresh surface water","Cubic metres per inhabitant","0.34",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for services","Fresh groundwater","Million cubic metres","43.60",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for services","Fresh groundwater","Cubic metres per inhabitant","0.53",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for private households","Fresh surface water","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for private households","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for private households","Fresh groundwater","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for private households","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction - net","Fresh surface water","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction - net","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction - net","Fresh groundwater","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction - net","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water returned without use","Fresh surface water","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water returned without use","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water returned without use","Fresh groundwater","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water returned without use","Fresh groundwater","Cubic metres per inhabitant",":",""
